date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:55:40	61736/61736	---M--	200	added ('OK')	font/woff	etag:%2264757355-f128%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Regular.woff	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Regular.woff	(from http://www.varunbajaj.me/css/materialize.css)
12:55:44	21364/21364	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264757355-5374%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Medium.eot	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Medium.eot	(from http://www.varunbajaj.me/css/materialize.css)
12:55:48	21364/21364	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264757355-5374%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Medium.eot?	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Mediumd41d.eot	(from http://www.varunbajaj.me/css/materialize.css)
12:55:49	126072/126072	---M-Z	200	added ('OK')	font/ttf	etag:W/%2264757355-1ec78%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Regular.ttf	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Regular.ttf	(from http://www.varunbajaj.me/css/materialize.css)
12:55:56	50224/50224	---M--	200	added ('OK')	font/woff2	etag:%2264757355-c430%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Medium.woff2	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Medium.woff2	(from http://www.varunbajaj.me/css/materialize.css)
12:55:59	62980/62980	---M--	200	added ('OK')	font/woff	etag:%2264757355-f604%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Medium.woff	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Medium.woff	(from http://www.varunbajaj.me/css/materialize.css)
12:56:03	20966/20966	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264757355-51e6%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Bold.eot	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Bold.eot	(from http://www.varunbajaj.me/css/materialize.css)
12:56:06	20966/20966	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264757355-51e6%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Bold.eot?	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Boldd41d.eot	(from http://www.varunbajaj.me/css/materialize.css)
12:56:08	127488/127488	---M-Z	200	added ('OK')	font/ttf	etag:W/%2264757355-1f200%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Medium.ttf	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Medium.ttf	(from http://www.varunbajaj.me/css/materialize.css)
12:56:15	49976/49976	---M--	200	added ('OK')	font/woff2	etag:%2264757355-c338%22	http://www.varunbajaj.me/fonts/roboto/Roboto-Bold.woff2	D:/Study/kishan/PF/Kishan/www.varunbajaj.me/fonts/roboto/Roboto-Bold.woff2	(from http://www.varunbajaj.me/css/materialize.css)
